page,2013-04 pi,2013-04 pv,2013-05 pi,2013-05 pv,2013-06 pi,2013-06 pv,2013-07 pi,2013-07 pv,2013-08 pi,2013-08 pv,2013-09 pi,2013-09 pv,2013-10 pi,2013-10 pv,2013-11 pi,2013-11 pv,2013-12 pi,2013-12 pv,2014-01 pi,2014-01 pv,2014-02 pi,2014-02 pv,2014-03 pi,2014-03 pv,2014-04 pi,2014-04 pv,2014-05 pi,2014-05 pv,2014-06 pi,2014-06 pv,2014-07 pi,2014-07 pv,2014-08 pi,2014-08 pv,2014-09 pi,2014-09 pv,2014-10 pi,2014-10 pv,2014-11 pi,2014-11 pv,2014-12 pi,2014-12 pv,2015-01 pi,2015-01 pv,2015-02 pi,2015-02 pv,2015-03 pi,2015-03 pv,2015-04 pi,2015-04 pv,2015-05 pi,2015-05 pv,2015-06 pi,2015-06 pv,2015-07 pi,2015-07 pv,2015-08 pi,2015-08 pv,2015-09 pi,2015-09 pv,2015-10 pi,2015-10 pv,2015-11 pi,2015-11 pv,2015-12 pi,2015-12 pv,2016-01 pi,2016-01 pv,2016-02 pi,2016-02 pv,2016-03 pi,2016-03 pv,2016-04 pi,2016-04 pv,2016-05 pi,2016-05 pv,2016-06 pi,2016-06 pv,2016-07 pi,2016-07 pv,2016-08 pi,2016-08 pv,2016-09 pi,2016-09 pv,2016-10 pi,2016-10 pv,2016-11 pi,2016-11 pv,2016-12 pi,2016-12 pv,2017-01 pi,2017-01 pv,2017-02 pi,2017-02 pv,2017-03 pi,2017-03 pv,2017-04 pi,2017-04 pv,2017-05 pi,2017-05 pv,2017-06 pi,2017-06 pv,2017-07 pi,2017-07 pv,2017-08 pi,2017-08 pv,2017-09 pi,2017-09 pv,2017-10 pi,2017-10 pv,2017-11 pi,2017-11 pv,2017-12 pi,2017-12 pv,2018-01 pi,2018-01 pv,2018-02 pi,2018-02 pv,2018-03 pi,2018-03 pv,2018-04 pi,2018-04 pv,2018-05 pi,2018-05 pv,2018-06 pi,2018-06 pv,2018-07 pi,2018-07 pv,2018-08 pi,2018-08 pv,2018-09 pi,2018-09 pv,2018-10 pi,2018-10 pv,2018-11 pi,2018-11 pv,2018-12 pi,2018-12 pv,2019-01 pi,2019-01 pv,2019-02 pi,2019-02 pv,2019-03 pi,2019-03 pv,2019-04 pi,2019-04 pv,2019-05 pi,2019-05 pv,2019-06 pi,2019-06 pv,2019-07 pi,2019-07 pv,2019-08 pi,2019-08 pv,2019-09 pi,2019-09 pv,2019-10 pi,2019-10 pv
zugriffsstatistik-datenberlinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,27,53,46,55,48,54,45,48,38,85,73,42,37,63,59,91,82,47,44,58,52,60,47,36,30,35,30,17,16,31,26,82,74
bsr-stra%C3%9Fenreinigung-verzeichnisse-und-reinigungsklassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,15,13,11,11,32,23,16,12,10,8,43,27,3,3,23,11,10,7,18,15,22,16,71,53,35,26,145,96,93,74,76,54,57,39,38,30,46,35,69,47,60,40,66,47,98,76,121,86,59,44,100,71,65,48,136,97,50,37,85,67,120,88,87,63,75,59,88,62,112,90,200,114,67,55,115,86,123,86,85,53,57,42,84,63,81,58,83,65,96,68,72,52,74,55
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,11,11,82,76,70,60,46,43,47,40,70,53
senatsvorlagen-der-senatsverwaltung-f%C3%BCr-finanzen,,,,,,,,,,,,,,,,,,,,,,,,,22,20,18,17,16,15,7,6,10,6,14,13,17,13,64,39,29,22,33,27,26,21,37,27,47,35,24,22,27,27,41,28,36,32,42,27,34,25,40,34,28,23,50,45,29,26,36,27,16,12,17,15,24,21,26,21,15,14,43,39,59,42,49,43,27,22,23,20,31,27,66,52,32,25,65,56,64,55,66,55,78,56,44,34,48,39,52,42,26,22,52,46,33,29,37,32,32,25,53,42,34,31,45,34,63,48,81,64,85,62,81,67,62,53,130,100,67,55,93,67,71,51,67,52,70,58,66,57,62,49,49,41,69,50
kurse-der-berliner-volkshochschulen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,56
deutsche-digitale-bibliothek-ddb-api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,37,73,60,13,12,16,15,26,23,19,17,44,34,36,32,9,8,15,13,44,35,34,27,22,15,43,37,14,11,30,28,68,58
das-ist-ein-test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,54
liste-der-verbannten-b%C3%BCcher-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,67,37,28,119,86,56,48,40,27,23,18,18,15,31,22,27,21,34,24,11,8,8,7,20,20,21,20,15,11,8,8,9,7,16,13,11,10,10,9,25,22,37,32,28,19,27,25,15,15,12,12,19,17,27,17,21,18,36,31,49,44,66,61,55,49,66,55,40,35,51,39,41,37,48,42,62,47
berlin-um-1900-aisber-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,24,51,44,59,54
liste-der-h%C3%A4ufigen-vornamen-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,1,1,1,10,7,727,596,671,564,181,156,279,246,722,555,257,207,242,189,211,179,226,192,273,205,229,186,255,206,202,166,72,56,69,61,225,203,63,56,57,51,61,52,40,34,59,47
blockkarte-15000-isu5-wms-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,46,43,51,46
digitale-farbige-orthophotos-2019-dop20rgb-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,32,62,56,51,46
fl%C3%A4chennutzung-stadtstruktur-2015-und-versiegelung-2016-umweltatlas-wfs-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,25,23,48,44
ausl%C3%A4ndische-einwohnerinnen-und-einwohner-berlin-lor-planungsr%C3%A4umen-am-31122018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,87,73,52,47,37,32,39,33,47,43
erwerbst%C3%A4tige-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,8,8,9,9,3,3,2,2,7,7,9,8,4,4,3,3,5,5,1,1,1,1,1,1,31,28,44,41
emobility-ladestationen-berlin,,,53,50,18,17,25,24,25,23,25,23,36,27,38,27,24,21,13,11,24,21,18,14,30,26,29,27,14,13,20,19,21,16,11,11,12,10,14,14,16,12,15,14,11,10,12,11,21,18,24,22,34,31,12,8,3,3,3,3,16,14,2,2,9,9,9,9,18,17,15,13,16,15,18,18,12,9,21,17,13,12,11,11,25,21,11,10,6,6,19,15,18,13,14,10,26,22,9,9,19,14,24,21,20,17,9,9,7,6,15,14,9,8,17,16,6,6,10,9,21,16,13,11,8,8,15,11,11,11,16,13,27,26,22,20,22,19,24,23,12,11,24,21,46,36,21,21,16,16,16,14,20,16,31,28,43,42
winterspiel-und-bewegungsangebote-berlin-mitte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,33
liste-der-h%C3%A4ufigen-vornamen-2013,,,,,,,,,,,,,,,,,,,,,343,264,78,71,35,33,88,80,39,37,75,66,37,36,63,55,77,59,81,69,67,61,81,75,66,56,88,65,87,74,74,55,57,54,46,39,51,46,50,43,56,48,66,59,35,33,54,49,45,43,64,54,42,36,53,49,40,35,47,42,46,41,43,39,52,44,63,60,60,50,71,51,60,48,103,90,83,72,63,55,68,62,71,63,54,52,49,46,75,67,88,76,115,102,155,121,136,109,119,107,107,96,102,87,61,55,80,73,91,81,75,68,92,77,102,88,79,65,104,70,80,75,68,52,52,48,54,51,40,39,49,46,66,53,30,27,40,38
koordinaten-der-zugangsm%C3%B6glichkeiten-zu-stationen-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,62,61,54,61,50,51,44,31,28,39,35,46,41,35,31,59,50,46,39,33,31,56,44,48,44,40,35,38,36
postleitzahlen-wfs-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,36,35
europawahl-2019-berlin-nach-wahlbezirken-endg%C3%BCltiges-ergebnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,49,35,31
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,18,16,23,22,19,19,16,14,34,28
st%C3%A4dtebauliche-dichte-gfzgrz-2015-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,23,21,33,29
atkis%C2%AE-dgm-digitales-gel%C3%A4ndemodell-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,17,15,32,27
einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsr%C3%A4umen-am-31122018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,12,11,18,17,23,18,21,20,30,27
verkehr-und-personenaufkommen-am-ernst-reuter-platz-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,18,17,20,18,36,34,34,30,18,17,29,25,17,16,24,14,40,36,23,22,18,17,44,42,16,16,21,20,30,28
stra%C3%9Fenverzeichnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,44,36,4,3,6,5,18,12,7,7,12,8,13,10,12,10,14,11,8,7,9,7,17,15,12,11,12,9,25,17,18,17,32,28,28,19,25,18,24,16,35,26,43,35,19,18,36,23,41,29,32,22,75,67,36,28,50,36,40,32,17,13,38,27,19,18,16,15,23,21,24,20,31,27,18,12,38,29,27,22,33,26,79,66,61,50,56,51,59,55,58,35,59,48,30,22
berlin-um-1850-atom-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,30,28
karte-von-berlin-15000-k5-ausgabe-dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,19,3,3,12,12,36,22,22,15,9,5,55,52,140,131,12,11,3,3,18,17,15,13,10,9,18,18,66,55,101,87,50,43,22,20,29,25,30,28
stra%C3%9Fenbefahrung-2014-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,26,22,29,25
liste-der-diplomaten-kennzeichen-d,16,14,27,24,52,42,91,57,99,70,91,57,79,64,64,50,46,30,62,41,47,41,33,26,46,33,45,28,35,22,41,30,36,23,24,21,36,32,31,26,35,28,61,33,42,34,50,38,37,26,47,38,35,27,38,25,22,18,32,30,36,33,56,47,42,33,45,36,76,64,69,66,39,34,43,42,71,68,31,29,29,26,26,26,34,30,28,25,14,13,25,21,33,29,31,29,34,32,28,27,39,32,34,32,33,30,22,18,29,24,35,27,36,30,30,26,34,30,42,36,34,32,35,28,40,32,28,25,26,24,30,25,29,27,23,21,17,17,38,32,35,29,30,30,44,38,63,56,32,29,27,24,28,24,18,18,28,25
energie-und-co2-bilanz-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,8,8,19,19,16,14,3,3,6,4,5,4,5,5,8,7,8,8,10,9,12,11,19,15,53,46,23,20,23,20,39,33,56,47,38,34,19,16,27,22
kfz-kennzeichen-deutschland,26,22,50,38,43,39,25,22,29,24,21,18,28,26,26,20,11,11,19,17,22,20,30,22,16,14,33,26,24,21,78,65,75,68,21,19,17,17,44,41,17,15,12,12,17,16,14,12,19,15,16,15,14,14,19,15,10,9,7,6,5,5,5,4,5,5,8,7,10,10,80,73,21,21,48,40,50,45,31,28,23,22,18,15,26,26,9,9,6,6,10,7,6,5,10,10,7,7,4,3,15,14,12,12,20,19,8,8,18,17,26,25,9,9,14,14,10,9,23,18,22,21,14,14,20,18,16,16,14,11,17,16,11,11,15,15,6,6,27,25,14,12,22,17,27,21,29,25,7,7,12,12,10,9,21,18,27,25
verbraucherpreisindex-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,18,13,19,15,10,10,19,16,20,17,13,9,9,9,16,12,20,18,22,17,27,22,42,33,25,21,43,32,34,29,34,28,36,29,14,12,41,29,22,17,25,22
rahmenvertrag-%C3%BCber-den-aufbau-und-betrieb-eines-elektronischen-stadtinformationssystems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,30,273,235,20,18,27,26,35,25,20,18,16,15,24,21,23,22,22,21,25,21
alkis-berlin-geb%C3%A4ude-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,5,11,9,23,18,30,24,27,20,23,19,24,22,6,6,8,4,,,,,1,1,,,2,2,5,3,,,,,,,,,,,1,1,1,1,,,3,2,,,,,,,,,,,,,,,,,,,4,4,12,12,24,22
berlin-um-1940-atom-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,11,9,24,24
www.vbb.de,150,132,102,91,23,16,10,7,6,4,4,3,6,5,1,1,4,3,5,3,4,3,5,3,10,9,4,4,10,6,2,2,4,4,2,2,7,4,3,2,,,2,2,,,9,7,4,3,9,6,19,10,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,14,15,12,25,17,12,11,9,9,11,8,9,7,8,7,30,17,5,4,22,10,13,10,8,7,11,10,24,15
einschulbereiche-geometrien-schuljahr-20192020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,76,107,84,51,40,24,21
unternehmensregister-im-land-berlin-und-brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,6,6,5,4,10,9,4,4,10,9,5,4,13,12,5,5,10,10,11,10,10,10,7,6,23,19,11,11,19,13,23,20
